RXNORM_NAME,ClinVec_0,ClinVec_1,ClinVec_2,ClinVec_3,ClinVec_4,ClinVec_5,ClinVec_6,ClinVec_7,ClinVec_8,ClinVec_9,ClinVec_10,ClinVec_11,ClinVec_12,ClinVec_13,ClinVec_14,ClinVec_15,ClinVec_16,ClinVec_17,ClinVec_18,ClinVec_19,ClinVec_20,ClinVec_21,ClinVec_22,ClinVec_23,ClinVec_24,ClinVec_25,ClinVec_26,ClinVec_27,ClinVec_28,ClinVec_29,ClinVec_30,ClinVec_31,ClinVec_32,ClinVec_33,ClinVec_34,ClinVec_35,ClinVec_36,ClinVec_37,ClinVec_38,ClinVec_39,ClinVec_40,ClinVec_41,ClinVec_42,ClinVec_43,ClinVec_44,ClinVec_45,ClinVec_46,ClinVec_47,ClinVec_48,ClinVec_49,ClinVec_50,ClinVec_51,ClinVec_52,ClinVec_53,ClinVec_54,ClinVec_55,ClinVec_56,ClinVec_57,ClinVec_58,ClinVec_59,ClinVec_60,ClinVec_61,ClinVec_62,ClinVec_63,ClinVec_64,ClinVec_65,ClinVec_66,ClinVec_67,ClinVec_68,ClinVec_69,ClinVec_70,ClinVec_71,ClinVec_72,ClinVec_73,ClinVec_74,ClinVec_75,ClinVec_76,ClinVec_77,ClinVec_78,ClinVec_79,ClinVec_80,ClinVec_81,ClinVec_82,ClinVec_83,ClinVec_84,ClinVec_85,ClinVec_86,ClinVec_87,ClinVec_88,ClinVec_89,ClinVec_90,ClinVec_91,ClinVec_92,ClinVec_93,ClinVec_94,ClinVec_95,ClinVec_96,ClinVec_97,ClinVec_98,ClinVec_99,ClinVec_100,ClinVec_101,ClinVec_102,ClinVec_103,ClinVec_104,ClinVec_105,ClinVec_106,ClinVec_107,ClinVec_108,ClinVec_109,ClinVec_110,ClinVec_111,ClinVec_112,ClinVec_113,ClinVec_114,ClinVec_115,ClinVec_116,ClinVec_117,ClinVec_118,ClinVec_119,ClinVec_120,ClinVec_121,ClinVec_122,ClinVec_123,ClinVec_124,ClinVec_125,ClinVec_126,ClinVec_127
"1,3-PROPANEDIOL",-15.030021,-9.197477,-9.159265,-10.906178,-10.196914,11.508526,-6.2486167,-7.615353,-10.586164,-5.600388,3.1522648,8.92914,-8.638098,10.937926,7.7787046,5.3648014,8.227943,12.084842,-13.066121,-11.749476,7.2470613,5.8490896,9.403634,10.316158,10.885113,-3.6030705,-4.4778657,0.23899893,-2.3808436,1.3245279,9.396537,3.2670295,7.8547373,-11.495496,-12.154015,-2.4877381,-6.9461713,-8.338445,-8.769218,12.043609,7.109496,8.205116,2.8962402,0.7975854,-5.8764224,-3.82199,5.5120735,4.74345,-5.654296,-5.710825,7.43445,1.1486914,-7.5230074,-10.211453,-6.01226,-0.5121193,-8.622685,4.188553,-1.1480885,-6.6079144,9.641363,4.6203604,0.92419386,10.7902565,-4.398168,8.941074,-2.864113,12.793773,-2.9643779,-8.619632,-9.389528,-0.01886204,-5.20291,-5.691907,-11.195208,0.86627877,1.6729735,-8.139103,-5.8504715,6.110075,3.6693592,8.820553,-7.8449297,-10.503466,-5.461337,-0.8565059,-6.1006856,-9.183464,-11.807953,-3.9341283,0.22704859,13.059745,-0.13189915,12.341073,-9.708362,10.286737,-11.033191,2.0604632,-0.4915589,-5.039725,-2.8708065,-6.4156275,-10.096097,-7.188705,-6.38538,-6.8915577,6.944762,4.3560877,9.290472,-1.984441,3.1082458,-4.8747263,1.0366132,-9.318666,-5.9625106,4.184417,7.177162,-2.8667333,9.913763,0.861045,10.618166,3.5175762,-10.590931,-3.6128948,7.5144396,-13.02786,-3.6697807,-0.32131273
"1,4-BENZOQUINONE",-12.632039,-8.861687,-9.534199,-11.401652,-9.161878,9.790808,-8.450086,-13.108632,-9.348585,-10.865176,5.400034,11.357898,-2.595274,10.8501215,5.059066,7.12726,2.0878882,13.59974,-9.327205,-12.351091,8.537493,5.711175,11.482955,12.257634,10.036975,3.0693276,-5.9167767,1.4336451,-0.83679044,5.4098544,13.870288,1.7061707,3.4068735,-9.68959,-11.970785,-3.9018319,-7.2104053,-5.1570034,-8.782434,12.555757,11.630519,9.790048,4.382568,6.612035,-10.709351,-0.34839994,5.219624,3.6569526,-1.6964774,-6.256513,7.592453,-3.9932518,-7.4419637,-8.869234,-2.3343,-1.5567765,-7.0367303,5.619269,-4.116348,-7.3221693,7.3370237,4.989488,2.0476255,11.059211,-2.5307717,4.092307,-6.1368685,11.440072,-6.8186207,-6.945533,-5.9637623,2.412819,-5.597152,-9.687412,-6.5317283,-2.206862,3.3181303,-8.629551,-4.8812375,3.831575,8.056765,9.599376,-9.665899,-12.39867,-8.822953,-0.93084705,-6.742875,-11.203708,-13.161942,-3.8874123,-0.057317212,14.391826,-2.3855774,12.042647,-5.620248,7.7744946,-11.829034,4.2015495,-3.6623461,-7.1357036,-1.322118,-1.7526716,-11.344852,-3.5592859,-6.518883,-11.661235,6.092815,4.8093343,8.719686,-2.370171,0.80298406,-9.332791,2.894558,-8.9541235,-5.9194536,2.8381097,3.2380767,0.18487802,10.823047,7.459218,12.541847,1.5153035,-7.3765078,-10.157649,7.828925,-14.233139,-2.214304,1.5538211
17-ALPHA-HYDROXYPROGESTERONE,9.214116,5.6961217,6.811231,8.7778225,14.511494,-7.9646153,8.981049,8.259547,3.9951384,7.740367,2.0139291,-8.84177,6.346346,-6.207421,-6.5239544,-7.156024,-5.3418136,-4.6226687,7.1388264,7.842236,-3.752311,-3.881143,-7.704561,-8.971981,-5.810288,8.091093,0.07964674,-0.4185318,-3.63704,0.97588134,-4.475337,-9.824222,-5.4572754,5.832528,13.958204,6.6242037,8.810179,5.340404,4.1339602,-10.908381,-7.1659822,2.3619936,-8.9461,-0.35219765,3.3030546,2.0255032,-6.5347958,-2.2748601,4.091735,6.389436,-4.898311,-2.7154403,-6.29498,14.126539,8.75878,6.236566,3.207131,-5.7261176,7.392449,7.3232675,-11.876199,3.0731988,2.2473922,-7.0157976,9.706199,-4.3782115,5.185524,-8.2321415,6.0001774,8.332646,13.230168,-0.99197173,14.072739,6.8594337,1.40095,-10.543944,-2.5991254,12.697329,1.1615664,1.492959,-7.6056767,-5.81386,12.625599,4.667837,5.55162,7.92776,2.397642,13.725412,10.908616,-3.6906118,10.102028,-10.246869,8.903574,-12.00982,2.4740627,-11.321247,7.652396,-3.487465,-8.449077,3.8025527,5.5260563,0.08867636,6.052841,-4.8960896,9.325407,4.299284,9.20597,-8.948065,-3.741399,1.6559372,-10.233951,4.4395294,9.13577,-2.2758367,-3.9637225,-7.710757,-4.337708,4.5161815,-5.4622383,-5.2895184,-5.4513702,-8.49744,9.466489,-0.58421266,-13.769459,13.199279,5.9124513,-3.296032
2-MERCAPTOETHANESULFONIC ACID,-6.928249,-1.7164807,-4.050131,-10.970711,-10.161549,3.4905987,2.2209878,-5.856266,-14.486752,-10.678524,4.2138557,1.7001723,4.3174314,0.6637304,1.228932,-0.23811582,0.8723725,3.853295,-2.492348,-15.0901375,11.572615,8.120972,9.094296,5.452574,-1.3157043,-1.3039963,-0.3193112,4.913518,2.3749893,-5.311125,7.6177197,-2.335815,-3.0923223,0.6624049,-7.137767,1.7526636,3.7077675,-1.4208305,-12.50671,7.243702,9.747686,9.30593,0.70866907,8.782494,-3.6557362,-6.7623835,6.9798813,-6.1793213,5.503313,-6.0620856,11.758574,3.701078,-5.3447704,-9.871633,2.2781262,6.4141793,-7.1898646,2.8715959,-6.0953655,-6.937023,6.5372458,10.75544,-3.9293318,10.909889,-10.507612,0.4412858,0.27908802,10.592728,1.915943,-16.71689,-4.24728,3.3306527,-6.0468097,-7.4554873,-5.8657613,-1.3564965,-1.607131,-7.2551546,-9.212613,2.1584053,3.3364885,2.4000933,-5.2291756,-5.276238,-5.3710723,6.270112,5.6064286,-8.552266,-8.184007,0.7783851,3.441327,9.895452,-5.036317,7.6796017,-6.2296295,4.2676334,-12.878264,-1.352427,3.006306,6.281747,8.300667,-4.9124594,-2.6948738,2.5657272,-2.609728,-7.1460834,5.000483,0.55003005,8.890011,5.4909196,-7.131454,3.9561453,5.739027,0.10846962,4.715555,-4.033643,0.3364454,-1.3641009,1.517418,1.380972,3.7946057,1.403259,-6.5095606,-10.021597,9.996134,-11.16671,2.7214665,0.9884253
"3-BROMOCAMPHOR, (+-)-",-12.643898,-9.4721,-9.976476,-9.297131,-6.473888,10.235136,-9.296845,-12.260127,-6.711891,-8.605912,5.9249907,12.124677,-4.2809324,12.510664,6.2808475,7.4810247,2.7641678,14.186812,-10.314283,-9.278905,5.8622985,4.8529625,10.535629,12.082317,11.830081,3.7013435,-7.045378,0.15377101,-2.9611037,7.1335716,13.185601,1.7676902,5.5709767,-11.4896145,-10.8923645,-4.0415826,-8.921666,-5.6817245,-6.1943293,11.961297,9.421968,10.002711,4.0860434,4.5140085,-10.636696,1.3290881,4.166165,6.9958878,-3.658419,-5.673069,4.936513,-5.4209895,-8.722853,-6.9025216,-3.304884,-2.730399,-6.393296,5.4907417,-2.2117682,-4.927203,5.847815,2.9097953,4.0515647,8.767758,0.587711,5.2489333,-6.441011,9.785264,-7.5651975,-2.907544,-4.958905,1.6187233,-2.6336226,-8.719536,-7.259538,-3.3054678,4.5616846,-7.1134343,-2.6657302,4.5264153,6.904826,10.706144,-8.118585,-12.304162,-8.401138,-2.0928385,-9.774589,-9.310673,-12.006867,-4.902013,-0.03864184,13.131041,1.0166808,10.691513,-5.8074694,7.3282814,-9.735337,5.2314835,-6.0347815,-9.919962,-3.7417848,-1.7016749,-12.459521,-6.0417128,-5.667553,-11.193472,7.3044744,5.094074,7.509204,-4.813984,1.6634611,-11.24717,2.6646516,-11.457789,-9.553863,4.1851273,4.726822,0.0848006,11.997475,6.644822,12.695844,1.1654199,-6.345072,-7.9898252,5.296704,-12.649994,-3.5271516,1.6675276
4-(P-HYDROXYPHENYL)-2-BUTANONE,-14.109682,-10.824657,-8.504079,-8.673066,-8.461161,12.57201,-7.486716,-10.122116,-8.518701,-8.108955,2.9915023,9.73261,-7.525762,11.515396,8.123471,5.5415416,6.403907,13.057021,-12.347042,-10.519922,7.5525856,6.3572063,10.890162,11.776336,11.781996,-1.1252282,-4.4018445,1.8946464,-4.458838,4.006,11.330708,2.0151806,6.406505,-12.548113,-11.941194,-2.2328858,-8.181098,-8.562119,-6.0277286,12.866029,6.970293,8.285301,2.7538974,2.2974603,-8.925061,-2.3780758,3.2933762,6.3114986,-6.9281034,-4.4850736,6.9921145,-2.4014683,-8.231762,-8.422702,-4.4770336,-1.4793968,-8.917651,3.3687923,-0.028357469,-5.678411,8.261347,3.2015302,1.1029533,9.809874,-2.0473135,8.0911875,-3.9552608,10.783324,-6.3558645,-5.333125,-7.5887213,2.7734632,-4.459489,-6.5845947,-8.327162,-1.31558,2.4601855,-9.050905,-4.4810047,5.214352,5.069554,10.055654,-8.952182,-12.413809,-6.146307,-3.6377769,-9.056221,-9.483535,-12.15554,-2.933806,-0.6599084,13.019653,0.72919154,11.584109,-6.672759,8.569805,-11.181487,2.7414856,-3.6768544,-8.306284,-3.068254,-4.591059,-11.540987,-7.59147,-7.70352,-7.6889467,6.089091,5.6912794,9.4261875,-2.6064343,2.5594158,-8.108099,1.7297632,-11.205114,-7.797062,3.6963172,5.7015634,-2.6340613,12.388977,3.504572,12.576183,1.2270465,-9.035122,-5.720523,6.1252093,-12.769152,-2.5954292,-0.4620672
4-AMINOBENZOIC ACID,-8.777917,-2.9966373,-0.318973,-8.036346,-2.8064654,3.6343021,3.3244503,4.886548,-11.389701,7.6342635,-1.7868546,-3.4636059,-9.844564,2.45168,-2.816501,-1.2202317,8.084671,8.211359,-9.414168,-8.749904,6.719397,-2.7079115,-3.7334745,-1.4743102,5.5321026,-2.2433467,-1.7503748,-2.890168,1.2426481,-1.5313662,1.1702436,-1.5950304,3.1589713,-6.093986,-0.5004871,2.2251148,3.8263998,-5.2662673,-11.462712,-0.08709833,0.9022231,2.76167,-6.8849764,-4.2109995,2.6734645,-7.0122685,-1.1133103,-5.495925,-3.096915,3.1984134,6.0452642,6.5751095,-7.250492,1.4635336,-0.95157254,5.3134227,-5.7366424,-3.1489568,6.787444,-8.347142,3.958834,11.186735,-1.1861293,10.600752,-0.09207775,7.092048,4.4009604,10.594339,9.111676,-7.2795825,-3.1366968,-6.2871976,-0.118305445,6.9103665,-11.723354,-0.53640914,-7.207371,5.7922726,-11.92594,9.31974,-3.9461572,-2.7299345,2.6213667,-5.055445,4.9673104,10.119127,3.6239755,4.154737,-1.9497337,-10.569889,10.35412,4.326601,-1.1294907,6.0039353,-10.145999,4.167649,-3.0368812,-6.551633,0.93277943,5.663828,2.6681616,-9.036084,0.9524033,-12.461794,0.23516174,3.4824207,13.688856,-8.294967,6.718015,5.334893,0.18677233,6.4425335,5.582118,-5.7799935,-1.7167041,-2.954612,1.8172201,2.8751085,0.6874725,-7.781942,5.0823984,-2.0407965,-7.6786695,-1.1938633,-4.210944,0.7547375,3.1025124,-8.509942
4-AMINOHIPPURIC ACID,8.951693,11.981928,1.6892838,2.4653616,10.568745,-13.794322,5.3406897,12.817001,7.1071253,16.384033,3.77008,-5.414074,2.6411664,-4.2716613,-8.733229,-1.0935851,-3.3761199,-6.4908934,6.69832,10.886517,-12.369296,-10.52164,-14.958254,-12.466753,-5.673671,4.002493,-4.1969957,-10.958675,6.0736246,-1.3721364,-11.429132,0.19462961,1.481737,7.7681007,12.674176,-1.1943854,5.5412073,9.203192,-0.2899292,-14.629669,-5.351705,-1.9028195,-2.5914023,-6.4911337,11.348387,6.0480967,0.81952506,-1.893578,9.162495,0.9588828,-11.152041,3.0013695,2.1181629,9.800879,-0.21537137,0.01708746,11.0534725,1.8289716,-0.12922817,6.0848866,-9.257481,-0.5165493,7.578004,-8.315686,6.4283276,-4.930714,1.099273,-6.2741947,11.924455,6.8515983,7.265422,-13.030912,11.033028,6.6026225,-2.7117016,0.4325392,0.24134538,16.887428,3.5826547,1.1195697,-6.908566,-7.956506,15.080578,12.139677,4.4927926,12.5846405,7.609827,13.319769,12.314791,-8.076949,6.3651676,-10.345954,4.9158573,-9.281965,-3.555448,-4.391828,14.574512,1.1322962,0.9120612,6.5360494,-2.2629294,1.6857842,8.686888,0.5412893,14.161426,4.159128,5.951756,-9.274518,-11.53725,-3.5023518,-1.3019525,6.311072,-0.27814674,5.1997166,-0.8797525,0.81203854,1.1212687,6.70734,-12.338187,-7.0321026,-11.752508,2.5281792,7.3167233,8.781587,-9.4016285,12.807748,-3.3681433,2.859217
5-HYDROXYLYSINE,-8.141959,-7.5287685,-7.3071046,-0.8897712,3.0425127,7.318783,-7.6929,-5.942874,1.2509156,0.39692962,5.5283422,9.489699,-6.1465616,11.830677,6.64824,5.1509657,2.926848,10.83752,-8.772879,1.1082253,-2.2477937,1.0349934,4.4232135,7.189352,11.720047,5.0631557,-7.3175335,-2.8584538,-7.1863894,9.189791,7.6511335,0.24334745,8.415419,-11.250606,-3.8137286,-2.439925,-9.090922,-4.646659,1.9326843,6.1099906,1.0699203,7.7941165,1.2256362,-1.5966055,-6.9082923,4.801284,0.044862926,11.99321,-6.7296295,-2.0178163,-2.85532,-6.996498,-9.900835,0.9848866,-3.3451982,-3.4585729,-2.7793233,2.723625,3.643561,2.5868645,-0.5120324,-2.099453,7.459849,0.29840693,8.725346,5.985461,-4.0621486,2.6682444,-6.5057015,7.708525,0.31870124,-0.9535505,6.369401,-2.8652291,-6.9493685,-6.3534355,5.6834145,-0.3166473,3.4178379,4.888592,1.0945414,9.499534,-1.0353806,-7.9187536,-4.268669,-3.3107178,-13.601213,-0.7984332,-4.809575,-6.3039346,1.4643779,5.069105,9.287624,2.9875977,-4.26718,2.7381332,-1.4694463,5.3294215,-10.426163,-12.597694,-7.3180413,-1.1567636,-10.793442,-10.457456,-1.1187435,-6.624126,9.08973,2.8000045,2.6295984,-8.630872,2.135619,-11.786,2.7167633,-13.940477,-15.320545,4.9509354,6.0087223,0.25269392,10.187934,2.083034,8.695032,-1.0369062,-0.8633268,-0.8599479,-3.505892,-3.9326055,-4.722704,0.5377641
5-HYDROXYTRYPTOPHAN,-11.729449,-7.597533,-7.7529397,-8.937027,-5.7412057,9.064389,-2.444568,-8.736344,-11.805994,-9.366428,6.973636,7.0250387,-1.0182712,8.64949,6.0194445,2.3568983,3.3581274,11.076982,-8.756286,-12.271097,9.245356,8.349455,11.344129,9.689848,7.315039,2.22054,-4.843479,3.3408644,-4.761582,1.7118696,11.859726,-3.1220791,2.7298295,-8.118739,-8.24672,1.1470677,-2.6926582,-5.4287834,-8.747538,10.530773,7.9403043,13.846342,0.092757866,6.283635,-8.443741,-3.2731192,4.583903,3.3678353,-1.1658747,-5.511461,8.620393,-2.151992,-12.780628,-6.8283286,0.30154625,3.8172145,-9.313684,3.1130047,-0.9649077,-3.7415314,4.9221873,8.109653,1.2561066,9.624915,-2.4457073,5.2406654,-1.9142314,10.483217,-2.9322004,-8.401074,-2.8769348,3.4456906,0.117830634,-7.7615776,-9.82037,-6.6435604,1.9024292,-6.4800496,-6.168542,5.874011,2.9573584,8.679202,-4.8247433,-10.8607235,-6.837183,2.7030008,-5.285606,-7.0957465,-10.027828,-3.4012198,4.615167,11.84594,3.3310058,8.336846,-8.11607,4.884221,-12.523729,1.790552,-5.9129844,-3.747094,2.6818507,-5.8464756,-9.856362,-6.739146,-3.420297,-9.715055,11.491536,2.4400346,10.227866,-0.6125591,-5.6367807,-4.498595,7.850378,-11.049507,-7.4507666,-0.9904849,4.3345995,-1.472268,9.466461,1.9151719,9.987658,-0.9082253,-6.3813868,-9.535113,5.000846,-11.740672,0.19060352,0.31255734
